id,operations_num,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,thread_num,throughput,throughput_read,throughput_write,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,bli_initial_filled_ratio,bli_sbuck_size,bli_dbuck_size
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/books,alexol,6,21414494,0,0,100000000,3074144304,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/books,lippol,6,10710281,0,0,100000000,26957893184,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/books,finedex,6,9091186,0,0,100000000,0,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/fb,buckindex,6,37478755,0,0,100000000,2,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,131072
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/fb,alexol,6,9744819,0,0,100000000,3144647416,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/fb,lippol,6,10821409,0,0,100000000,27809675808,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/fb,finedex,6,6601690,0,0,100000000,0,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/osm,buckindex,6,26730646,0,0,100000000,4,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,131072
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/osm,alexol,6,11314925,0,0,100000000,3137754168,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
2.0241E+13,100000000,0.7,0.3,0,0,0,../datasets/osm,lippol,6,9331409,0,0,100000000,35167965312,6,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,64,200000000,0,0,0
