id,read_ratio,insert_ratio,update_ratio,scan_ratio,delete_ratio,key_path,index_type,throughput,init_table_size,memory_consumption,thread_num,min,50 percentile,90 percentile,99 percentile,99.9 percentile,99.99 percentile,max,avg,seed,scan_num,latency_variance,latency_sample,data_shift,pgm,error_bound,table_size,bli_initial_filled_ratio,bli_sbuck_size,bli_dbuck_size
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,6753313,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,524288
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,6761801,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,1048576
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,6812919,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,2097152
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,7003787,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,4194304
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5464713,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,8388608



2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,7213518,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,16777216
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,7277173,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,4,33554432
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,4287970,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,16384
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,4391125,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,32768
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,4655974,100000000,3,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,65536
2.02401E+13,1,0,0,0,0,../datasets/fb,buckindex,5492303,100000000,2,1,0,0,0,0,0,0,0,0,1866,100,0,0,0,0,4,200000000,0.6,8,131072
